id,MajorID, Major,MajorArabic,Amount (R.O)
OPF01,M008,Diploma Information Technology & Computing,دبلوم تكنولوجيا المعلومات والحوسبة,2590.0
OPF02,M016,Diploma in Business Study,دبلوم في دراسة الأعمال,2715.0
OPF03,M011,BA Hons in Business Studies,بكالوريوس مع مرتبة الشرف في دراسات الأعمال,5600.0
OPF03,M012,BA Hons in Business Studies,بكالوريوس مع مرتبة الشرف في دراسات الأعمال,5600.0
OPF03,M013,BA Hons in Business Studies,بكالوريوس مع مرتبة الشرف في دراسات الأعمال,5600.0
OPF03,M014,BA Hons in Business Studies,بكالوريوس مع مرتبة الشرف في دراسات الأعمال,5600.0
OPF03,M015,BA Hons in Business Studies,بكالوريوس مع مرتبة الشرف في دراسات الأعمال,5600.0
OPF04,M001,BSc Hons in Information Technology and Computing,بكالوريوس مع مرتبة الشرف في تكنولوجيا المعلومات والحوسبة,5750.0
OPF05,M020,Bachelor in Law,بكالوريوس في القانون,7100.0
